customer_id,name,email,region,segment,signup_date
C00109,Logan Estrada,kellywarren@example.org,Northeast,Regular,2024-08-30
C00110,Taylor Bautista,bobby42@example.com,Midwest,At-Risk,2024-02-24
C00111,Anthony Yates,kevin38@example.org,West,New,2023-10-10
C00112,Ricky Cruz,fwood@example.net,West,Regular,2022-08-05
C00113,Jessica Morris,michaelgrant@example.net,Northeast,Regular,2023-05-14
C00114,Stephen Sanchez MD,toddkirk@example.com,Southwest,Regular,2024-12-07
C00115,Matthew Carroll,paige26@example.net,Southeast,Regular,2024-01-08
C00116,Pamela Kirby,daniel52@example.com,Midwest,Regular,2023-01-16
C00117,Kyle Snyder,marievasquez@example.org,Northeast,Regular,2024-10-27
C00118,Rachel Boyd,jessicamorales@example.org,West,Regular,2022-07-26
C00119,Zachary Parker,jeff96@example.com,Southwest,Regular,2024-05-09
C00120,Lindsey Edwards,jonathan58@example.net,Midwest,Regular,2022-07-13
C00121,Erica Blankenship,shannon60@example.org,Northeast,Regular,2024-08-24
C00122,Julia Mathews,amy34@example.net,Midwest,Regular,2024-08-08
C00123,Frances Richards,whitejacob@example.org,Southwest,Regular,2023-05-23
C00124,Cole Drake,oreyes@example.org,Midwest,Regular,2022-11-07
C00125,Samuel Chavez MD,john91@example.com,Southwest,Regular,2022-06-03
C00126,William Dunn,carol98@example.org,West,Regular,2022-08-31
C00127,Katherine Elliott,lisa93@example.net,Northeast,Regular,2022-08-16
C00128,James Case,kennethgoodwin@example.com,Southwest,Regular,2022-10-07
C00129,Desiree Smith,piercematthew@example.net,West,VIP,2022-08-14
C00130,Herbert Cole,terrancestewart@example.org,Northeast,VIP,2022-02-28
C00131,Crystal Arroyo,millscaleb@example.org,West,At-Risk,2023-11-06
C00132,Brian Collins,gregory17@example.net,Southwest,Regular,2023-05-14
C00133,Kristina Brown,amanning@example.org,Midwest,Regular,2022-04-01
C00134,Brenda Perez,hwest@example.net,Southwest,At-Risk,2023-12-11
C00135,David Lamb,danajennings@example.net,Northeast,Regular,2023-10-15
C00136,Anthony Hernandez,elizabethsimmons@example.org,Midwest,At-Risk,2022-09-12
C00137,Ashley Flores,kellermatthew@example.org,West,Regular,2022-01-22
C00138,Nicole Yang,jbryant@example.org,Southwest,Regular,2022-10-05
C00139,Ms. Janice Miller MD,elliotttiffany@example.org,Northeast,Regular,2024-01-03
C00140,Angela Dawson,cathy61@example.org,Southeast,Regular,2023-12-11
C00141,Crystal Lane,ocarlson@example.com,Southeast,At-Risk,2024-10-08
C00142,Matthew Ortega,steven15@example.com,Southeast,Regular,2022-04-25
C00143,Steven Robinson,stevengibson@example.org,Southeast,Regular,2023-05-21
C00144,Kristin Chambers,mcdonaldsarah@example.org,Southeast,New,2024-10-09
C00145,Stacey Mcbride,kevinlarson@example.org,Northeast,New,2022-03-07
C00146,Ethan Lewis,kellygarza@example.org,Northeast,Regular,2023-06-01
C00147,Timothy Smith,ashley33@example.net,Southwest,Regular,2024-08-31
C00148,Amy West,dale36@example.org,Southeast,New,2024-10-12
C00149,Johnny Salinas,michaelsmith@example.org,Northeast,Regular,2024-04-03
C00150,Donald Kim,jennifer27@example.net,West,Regular,2024-04-05
C00151,Madison Taylor,dakotapayne@example.org,Northeast,Regular,2023-11-07
C00152,Amy Moore,nancy44@example.org,West,Regular,2024-12-02
C00153,Kenneth White,powersanthony@example.org,West,New,2023-10-29
C00154,Pamela Perez,kimberly52@example.com,West,Regular,2024-03-18
C00155,Shelly Fischer,jacksonthomas@example.org,Midwest,Regular,2022-01-04
C00156,Matthew Cunningham,zhenry@example.com,Southwest,New,2024-06-28
C00157,Mr. Isaiah Sosa MD,slam@example.org,Southeast,VIP,2022-04-24
C00158,David Chapman,fclark@example.net,West,VIP,2022-05-08
C00159,Judith Huff,donaldrodgers@example.com,Midwest,Regular,2022-03-22
C00160,Robert Boyer,nicole07@example.org,Northeast,New,2023-12-18
C00161,Frances Ingram,ruth10@example.com,West,Regular,2024-09-27
C00162,Natalie Burns,yatesjoseph@example.org,Southwest,Regular,2022-05-20
C00163,Charles Stokes,nbrooks@example.net,Southwest,Regular,2023-07-16
C00164,Angela Barnes,jamespeterson@example.com,Midwest,Regular,2024-01-10
C00165,David Johnson,bbauer@example.net,West,Regular,2024-07-18
C00166,Marcia Hancock,taylortina@example.com,Southeast,Regular,2023-06-27
C00167,Christopher Holmes,jamesgomez@example.org,Midwest,New,2024-05-05
C00168,Robert Stewart,hollyruiz@example.net,Midwest,Regular,2022-01-28
C00169,Heather Young,johnjohnson@example.org,Southeast,VIP,2023-02-28
C00170,Alejandra Gray,peter24@example.org,Southwest,Regular,2022-11-27
C00171,Sandra Wong,davisjulie@example.org,Northeast,Regular,2024-02-10
C00172,David Johnson,tlee@example.com,Northeast,Regular,2024-03-06
C00173,Evan Nelson,sellersscott@example.org,Northeast,Regular,2024-06-03
C00174,John Moss,lpeterson@example.org,Northeast,Regular,2023-05-26
C00175,Emily Evans,michelleshea@example.com,Southwest,Regular,2024-09-17
C00176,Tammie Kim,kennethwells@example.org,Southwest,Regular,2022-01-13
C00177,Paul Thomas,jordansheila@example.com,Southwest,Regular,2024-06-12
C00178,Larry Watson,edwardhudson@example.com,Midwest,Regular,2024-06-17
C00179,Sue Richard,daniellester@example.org,Midwest,New,2024-02-22
C00180,Calvin Clark,kingjulie@example.com,Northeast,Regular,2022-03-03
C00181,Dylan Page,nancy80@example.net,West,VIP,2022-10-10
C00182,Michael Gomez,melissa63@example.org,Northeast,Regular,2022-05-30
C00183,Kathy Lane,matthew75@example.org,West,Regular,2023-10-20
C00184,Kathryn Mendez,mullinsedwin@example.org,Southeast,New,2023-09-28
C00185,Brandy Jones,aviladeborah@example.org,Southwest,Regular,2022-10-16
C00186,Jerry Lutz,iharper@example.com,Northeast,Regular,2024-07-06
C00187,Denise Clark,davidwest@example.net,Southwest,Regular,2024-08-13
C00188,Curtis Kirby,richardmarsh@example.net,Southeast,At-Risk,2022-07-08
C00189,Jessica Robinson,gambledevin@example.org,West,VIP,2022-05-15
C00190,Alejandro Flowers,rileyjeremy@example.net,Southeast,Regular,2022-02-04
C00191,Christine Hampton,brookslogan@example.net,Southeast,Regular,2024-07-11
C00192,Christine Rodriguez,ericcarr@example.com,Southwest,Regular,2022-07-29
C00193,Michelle Lang,bridgetjones@example.com,Southeast,VIP,2023-05-08
C00194,Kimberly Montgomery,hannah18@example.com,Midwest,New,2023-09-09
C00195,Marvin Mcconnell,melissa98@example.org,West,Regular,2022-07-06
C00196,Amanda Thomas,rachel92@example.com,West,Regular,2022-04-30
C00197,Shawn Gardner,james90@example.net,Southwest,Regular,2022-11-01
C00198,Matthew Kirk,perezgregory@example.org,Southwest,Regular,2024-04-14
C00199,Taylor Ward,ocampbell@example.com,Northeast,At-Risk,2022-12-03
C00200,Stephanie Johnston,abranch@example.net,Southeast,Regular,2023-02-10
C00201,Greg Lamb,ashleygonzalez@example.org,Southwest,Regular,2023-01-12
C00202,Taylor Maldonado,hawkinsadrienne@example.com,Southeast,VIP,2022-04-17
C00203,David Cox,christy47@example.com,Southeast,Regular,2023-06-15
C00204,Michael Stewart,kyle24@example.net,Northeast,Regular,2024-12-26
C00205,Gregory Owens,myerselizabeth@example.net,Southwest,New,2022-06-23
C00206,Michael Sherman,brittany07@example.net,Southeast,Regular,2024-08-27
C00207,John Hendrix,michaelsmith@example.org,Midwest,Regular,2024-11-08
C00208,Eric Bauer,gabriel46@example.org,West,Regular,2024-06-16
C00209,Eddie Hill,colonalyssa@example.com,Southeast,Regular,2024-05-30
C00210,Seth Gomez,fernandezbrian@example.net,Southwest,VIP,2024-05-05
C00211,Paul Collins,paulcunningham@example.net,Northeast,New,2022-06-11
C00212,Robert Murray,yrodriguez@example.com,Northeast,Regular,2024-02-20
C00213,Gregory Gardner,lsalazar@example.net,Southwest,New,2023-10-25
C00214,David Pena,kelly51@example.net,Midwest,At-Risk,2023-03-20
C00215,Jonathan Briggs,amanda16@example.net,West,Regular,2022-09-21
C00216,Melissa Thompson,johnharrington@example.net,Southwest,Regular,2023-10-19
C00217,Stephen Lewis,glen34@example.com,Southwest,Regular,2023-01-14
C00218,Savannah Roberts,benjaminsparks@example.org,Midwest,Regular,2022-08-04
C00219,Barbara Wagner,nancywilkins@example.net,Northeast,Regular,2024-04-29
C00220,Shelby Moore,sharris@example.org,West,New,2023-12-07
C00221,Michaela Key,flopez@example.net,Southwest,New,2023-04-14
C00222,Ronald Davis,wilsonjustin@example.org,Northeast,Regular,2023-02-05
C00223,Julie Wong,christopher45@example.org,Southwest,At-Risk,2022-01-28
C00224,Jennifer Harding,ibrown@example.net,West,Regular,2023-05-18
C00225,John Hernandez,frazierisaiah@example.com,West,At-Risk,2022-01-06
C00226,Joe Jones,andrea74@example.net,West,Regular,2024-01-04
C00227,Sabrina Montgomery,james41@example.org,Southwest,Regular,2024-01-23
C00228,David Brown,lmarks@example.com,West,Regular,2022-02-14
C00229,Cheyenne Rodriguez,qburke@example.com,Midwest,Regular,2022-10-10
C00230,Amanda Grimes,dlee@example.org,Southwest,New,2023-03-26
C00231,Andrew Jones,joshua41@example.net,Northeast,Regular,2024-05-21
C00232,Linda Curtis,harrislaura@example.org,Southwest,Regular,2024-02-02
C00233,Nancy Rodriguez,laurensantiago@example.org,Southeast,Regular,2023-08-26
C00234,Crystal Evans,fryjennifer@example.org,Southwest,Regular,2022-11-22
C00235,Sean Hampton,james56@example.net,Southeast,At-Risk,2022-06-27
C00236,Glenn White,houstonstephanie@example.org,Northeast,New,2023-01-03
C00237,Gerald Williams,rebeccahendrix@example.org,West,New,2022-07-28
C00238,Kevin Phelps,ray96@example.net,Southwest,Regular,2023-09-23
C00239,Sherri Ochoa,kellyphilip@example.com,Northeast,New,2024-01-03
C00240,Brenda Rogers MD,brian61@example.net,Southeast,Regular,2022-08-12
C00241,Michael Maldonado,hthompson@example.org,Southwest,Regular,2022-12-09
C00242,David Ramsey,johnsonnancy@example.net,Midwest,Regular,2024-06-06
C00243,Mary Hodges,xwagner@example.com,Southwest,Regular,2022-12-22
C00244,Nicole Hubbard,zcook@example.net,West,Regular,2024-10-26
C00245,Keith Grant,franklinbrady@example.org,Northeast,Regular,2024-09-02
C00246,Calvin Young,joannaschultz@example.com,West,Regular,2024-09-18
C00247,Mark Lowery,collinsbob@example.org,Midwest,New,2022-11-09
C00248,Cynthia Carpenter,troyjones@example.org,Midwest,Regular,2022-02-16
C00249,Shannon Chaney,becky48@example.net,Midwest,Regular,2024-03-30
C00250,Michael Bradley,morenolindsey@example.com,Midwest,Regular,2022-10-28
C00251,Rebecca Ortiz,jenniferthompson@example.net,Southeast,Regular,2023-07-06
C00252,Maria Brooks,owilliams@example.com,Southeast,Regular,2023-04-05
C00253,Michael Collins,christinehaynes@example.com,Southwest,New,2022-09-18
C00254,Larry Malone,taylorjose@example.net,Northeast,Regular,2023-08-05
C00255,Shane Walker,johnsonjose@example.com,West,At-Risk,2024-02-23
C00256,Karen Harris,kayleelyons@example.net,West,Regular,2023-04-30
C00257,Kimberly Jones,lynnkimberly@example.org,Northeast,Regular,2023-08-05
C00258,Ronald Mejia,leeashley@example.org,Southeast,VIP,2022-05-07
C00259,Megan Young,jenny74@example.com,Southwest,VIP,2024-03-26
C00260,Danielle Carter,smithdavid@example.org,Southwest,VIP,2023-03-30
C00261,Brian Martinez,taylorjason@example.net,Southwest,At-Risk,2022-08-07
C00262,Justin Diaz,usmall@example.com,Southwest,Regular,2023-03-13
C00263,Marcus Greer,zrhodes@example.org,Midwest,At-Risk,2023-03-26
C00264,Jason Cowan,crystal18@example.net,Southeast,Regular,2022-05-10
C00265,Jasmine Pena,colemanjasmine@example.org,Northeast,Regular,2024-09-02
C00266,William Jones,copelandpamela@example.net,Northeast,Regular,2022-07-11
C00267,Nathan Castro,njohnson@example.org,Midwest,At-Risk,2022-07-25
C00268,Pam Weaver,robert09@example.com,Northeast,At-Risk,2024-07-12
C00269,Eric Jones,richardmedina@example.net,Southeast,At-Risk,2022-03-18
C00270,Sabrina Richard,danielsullivan@example.com,West,Regular,2023-10-06
C00271,Michael Preston,lisacordova@example.com,Southwest,Regular,2024-11-22
C00272,Joseph Landry,woodscott@example.com,West,Regular,2022-06-11
C00273,Angela Juarez,williamedwards@example.com,Southeast,Regular,2023-08-06
C00274,Matthew Jones,iwoodward@example.net,West,Regular,2024-12-18
C00275,John Lee,michael92@example.org,Northeast,Regular,2024-10-06
C00276,Victoria Ray,jacksonlindsay@example.org,Midwest,Regular,2024-06-25
C00277,Brian Contreras,stricklandnancy@example.com,Northeast,Regular,2022-08-05
C00278,Stephanie Crosby,christian24@example.net,Southwest,New,2023-04-26
C00279,Joshua Gardner,graceparker@example.net,West,Regular,2024-12-11
C00280,Steven Torres,fordcaitlyn@example.com,Southwest,At-Risk,2022-05-16
C00281,Julie Pierce,meghan32@example.net,Southwest,At-Risk,2024-07-27
C00282,Thomas Garza,sheilapierce@example.com,Midwest,Regular,2022-11-21
C00283,Stephanie Scott,johnsongeorge@example.org,Northeast,Regular,2022-02-07
C00284,Brett Woodard,greenronald@example.com,Southeast,Regular,2022-09-05
C00285,Amber Mendez,jorge25@example.org,Southwest,VIP,2022-06-11
C00286,Connor Payne,eperez@example.org,Northeast,New,2022-04-05
C00287,Tina Harris,riveramonique@example.org,Southeast,At-Risk,2023-04-22
C00288,Renee Martin,josesmith@example.org,Northeast,Regular,2023-11-08
C00289,Christine Webb,shannonmarquez@example.com,Southeast,Regular,2022-02-15
C00290,Erin James,rickyshort@example.com,Midwest,New,2024-08-13
C00291,Joshua Jones,luistaylor@example.com,Southwest,Regular,2023-05-07
C00292,Susan Goodwin,kingmegan@example.com,Northeast,Regular,2022-06-02
C00293,Natasha Walsh,kellibrooks@example.com,Northeast,VIP,2024-03-22
C00294,Carol Higgins,nicole32@example.com,West,New,2023-06-06
C00295,Dr. Randy Ortega,bdavis@example.com,Southwest,At-Risk,2023-01-28
C00296,Destiny Dunn,derrickbrown@example.org,Southwest,Regular,2023-01-13
C00297,Laurie Burton,williamortiz@example.org,Southwest,At-Risk,2023-05-14
C00298,Michele Mahoney,nicole89@example.net,Southeast,Regular,2023-02-25
C00299,Timothy Walker,bgreen@example.net,Southwest,Regular,2023-09-16
C00300,Kristen Perkins,garciaangel@example.net,Northeast,At-Risk,2024-05-22
C00301,Ryan Hughes,nguyenshannon@example.com,Southwest,Regular,2022-12-15
C00302,Cheryl Young,travis21@example.com,Northeast,Regular,2022-03-04
C00303,Karen Oconnor,barnettkimberly@example.com,Southeast,Regular,2022-10-10
C00304,Kim Allen,igamble@example.net,Southeast,Regular,2022-07-18
C00305,Ms. Lisa Odonnell,james45@example.org,Midwest,Regular,2022-12-12
C00306,Roberto Vargas,floresvincent@example.org,West,New,2022-07-15
C00307,Kristine Cain,wmartinez@example.net,West,Regular,2023-07-29
C00308,Nathaniel Solis,pearsonian@example.org,Midwest,Regular,2023-04-15
C00309,George Bradley,shelley10@example.org,Southwest,Regular,2023-02-12
C00310,Travis Williamson,brittanycrosby@example.com,Southeast,New,2024-05-07
C00311,Lawrence Parker,hburns@example.net,West,At-Risk,2022-01-08
C00312,Tara Campbell,lori89@example.org,Southeast,Regular,2022-12-09
C00313,Thomas Macias,williamwilliams@example.org,Midwest,Regular,2022-06-15
C00314,Randall Hall,joseph81@example.org,Southeast,Regular,2024-05-11
C00315,Lindsay Moore,martha43@example.net,Northeast,New,2024-06-05
C00316,Travis Roberson,shines@example.net,West,Regular,2024-11-11
C00317,George Sellers,batesjessica@example.net,Southeast,New,2022-11-22
C00318,Kimberly Brown,philipjackson@example.org,Southwest,New,2022-04-19
C00319,Jonathan Foster,latasha16@example.org,Southeast,At-Risk,2022-10-20
C00320,Bryan Fuller,tammypetty@example.com,Southeast,New,2023-11-24
C00321,Teresa Jackson,ricewilliam@example.com,West,Regular,2024-08-04
C00322,Gail Mckinney,michaelpacheco@example.com,Southeast,Regular,2022-02-11
C00323,Christian Page,crosales@example.net,Southeast,Regular,2024-01-30
C00324,Alicia Barnett,adavis@example.com,Midwest,Regular,2022-11-01
C00325,James Vasquez,jamesvillegas@example.com,Midwest,Regular,2024-09-04
C00326,Danielle Watts,tony82@example.org,Northeast,Regular,2022-11-19
C00327,Danielle Wilson,kristin04@example.org,Midwest,Regular,2022-12-10
C00328,Jeffrey Gray,gfoster@example.com,West,Regular,2022-07-20
C00329,Kaitlyn Phillips,petersonsuzanne@example.com,Northeast,New,2024-04-07
C00330,Anthony Murphy,rjones@example.com,Midwest,Regular,2024-04-15
C00331,Roberto Parker,morsepamela@example.net,Southeast,Regular,2023-06-01
C00332,Thomas Hernandez,nicoleaustin@example.org,Midwest,VIP,2022-06-13
C00333,Erika Cohen,uthomas@example.com,Southwest,Regular,2022-12-08
C00334,Mr. Devin Rice MD,wmoody@example.org,Southeast,Regular,2023-10-12
C00335,Lisa Flores,allendillon@example.net,Southwest,Regular,2024-10-17
C00336,Heather Sims,barnettsarah@example.org,Southwest,Regular,2023-02-13
C00337,David Lindsey,lindsaykelley@example.net,Southeast,New,2024-04-11
C00338,John Gonzalez,robinsondavid@example.com,Northeast,Regular,2024-11-15
C00339,Pamela Olson,emily78@example.org,Southwest,Regular,2023-06-21
C00340,Heather Miller,paulcastaneda@example.com,Southeast,New,2022-05-09
C00341,Amanda Shaffer,annadams@example.net,Northeast,Regular,2022-07-07
C00342,Kevin Hale,justinbarnett@example.org,Midwest,At-Risk,2022-11-22
C00343,James Austin,evasquez@example.org,Southwest,VIP,2024-08-30
C00344,Kaitlyn Allen,joshua31@example.com,West,New,2022-10-02
C00345,Brian Terrell,joshuamaldonado@example.com,Northeast,Regular,2023-05-10
C00346,Samuel Morales,ehoward@example.com,West,Regular,2023-09-17
C00347,Andrea Kirk,joshua52@example.com,Southeast,New,2023-07-19
C00348,Kim Haynes,rogerskenneth@example.net,Southeast,Regular,2024-12-13
C00349,Mr. Gregory Sanders,fmccullough@example.org,Midwest,Regular,2023-04-23
C00350,Ashley Wilson,stephenalvarez@example.org,Midwest,New,2024-07-07
C00351,Tammy Liu,ymaxwell@example.net,Midwest,Regular,2022-11-04
C00352,Carlos Roth,edward73@example.net,Southwest,New,2024-04-08
C00353,Tyler Jones,millsmaria@example.net,Midwest,Regular,2024-06-04
C00354,Sharon Smith,boltonstephanie@example.org,Northeast,Regular,2023-08-18
C00355,Daniel Thompson,zparker@example.com,West,VIP,2023-10-24
C00356,Marcus Perez,thomashart@example.com,Northeast,New,2023-02-03
C00357,Laura Moore,brendaortiz@example.org,Southeast,Regular,2024-07-18
C00358,Dana Hernandez,zparker@example.com,Northeast,New,2023-11-21
C00359,Jonathan Jones,brittany72@example.org,West,Regular,2023-08-11
C00360,Stephanie Mcneil,erica58@example.org,Southeast,New,2022-11-16
C00361,David Hancock,laurahall@example.net,Southwest,Regular,2022-10-16
C00362,Rita Gutierrez,mmorgan@example.org,West,Regular,2024-11-06
C00363,Tammy Hernandez,gyoung@example.com,Southeast,Regular,2022-03-15
C00364,Allison Dunn,tross@example.com,Northeast,Regular,2024-03-25
C00365,Cassandra Nelson,antoniothomas@example.com,Southeast,Regular,2024-08-15
C00366,Travis Walker,ewest@example.net,West,Regular,2024-11-27
C00367,John Johnson,leeeugene@example.com,Southeast,Regular,2022-04-16
C00368,Marcus Valencia,valeriesimmons@example.net,Midwest,At-Risk,2024-08-31
C00369,Kari Kelly,shannonbrown@example.net,Southwest,At-Risk,2022-08-29
C00370,Jose Jenkins,karenford@example.com,Southwest,Regular,2024-03-14
C00371,Sherri Sutton,amber81@example.net,West,New,2022-01-13
C00372,Sheila Cain,kevinalvarez@example.net,Northeast,Regular,2023-06-18
